M_SIGLAUNIVOCA;M_SIGLAAZ;DESCRIZIONE;NOMEBREVE;COORDX;COORDY;TIPO;COMUNE;LOCALITA;STAMPAPERORARIO;IDDISEGNO;FR;SOPPRESSA;STALLO
RE365212;365212;MONTECCHIO - IL CHIAVICONE;NULL;615076;952987,125;1;NULL;NULL;S;298715076;S;N;NULL
RE365213;365213;MONTECCHIO - INC. STRADA PRATOROTTO;NULL;615079,688;952399,375;1;NULL;NULL;S;239915079;S;N;NULL
RE365301;365301;S. ILARIO - ASILO;NULL;615181,296;957485,562;1;NULL;NULL;S;748515181;S;N;NULL
RE365302;365302;S. ILARIO;NULL;614842,562;957628,75;1;NULL;NULL;S;762814842;S;N;NULL
RE365303;365303;S. ILARIO - CINEMA;NULL;614659,655;957728,954;1;NULL;NULL;S;772814659;S;N;NULL
RE365304;365304;S. ILARIO - STAZIONE;NULL;614883,068;958108,135;5;NULL;NULL;S;810814883;S;N;NULL
RE365501;365501;CAPRARA - LA TORRE;NULL;619324,625;960657,625;1;NULL;NULL;S;65719324;S;N;NULL
RE365601;365601;PRATICELLO - SCUOLE;NULL;616437,125;962528,625;1;NULL;NULL;S;252816437;S;N;NULL
RE365602;365602;PRATICELLO - INC. VIA SPALLANZANI;NULL;616036,312;962550,188;1;NULL;NULL;S;255016036;S;N;NULL
RE365603;365603;PRATICELLO - ZONA INDUSTRIALE;NULL;615663,938;961905,875;1;NULL;NULL;S;190515663;S;N;NULL
RE365604;365604;PRATICELLO - VALLONE;NULL;615466,625;960783,438;5;NULL;NULL;S;78315466;S;N;NULL
RE365605;365605;PRATICELLO - GIARETTO;NULL;615360,46;960079,567;1;NULL;NULL;S;7915360;S;N;NULL
RE365606;365606;TANETO;NULL;615285,208;958933,647;1;NULL;NULL;S;893315285;S;N;NULL
RE365608;365608;TANETO - BERTANA;NULL;614399,125;958756,25;1;NULL;NULL;S;875614399;S;N;NULL
RE365609;365609;CAPRARA - INC. VIA MILANELLO;NULL;617548,375;959461,562;1;NULL;NULL;S;946117548;S;N;NULL
RE365611;365611;CAPRARA - CHIESA;NULL;619101,25;959867,062;1;NULL;NULL;S;986719101;S;N;NULL
RE365701;365701;BELLAROSA;NULL;617538,812;956656,312;1;NULL;NULL;S;665617538;S;N;NULL
RE365702;365702;BELLAROSA - INC. VIA TORRICELLI;NULL;617226,562;956794,188;1;NULL;NULL;S;679417226;S;N;NULL
RE365703;365703;BELLAROSA - INC. VIA ARCHIMEDE;NULL;617057,188;956867,875;1;NULL;NULL;S;686717057;S;N;NULL
RE365704;365704;BELLAROSA - VIA EDISON;NULL;616930;956774,562;1;NULL;NULL;S;677416930;S;N;NULL
RE365705;365705;S. ILARIO - BETTOLINO;NULL;614786,051;957204,686;1;NULL;NULL;S;720414786;S;N;NULL
RE365706;365706;S. ILARIO - INC. VIA PAGANINI;NULL;614586,062;956735,375;1;NULL;NULL;S;673514586;S;N;NULL
RE365707;365707;GAZZARO;NULL;614465,938;956442,438;5;NULL;NULL;S;644214465;S;N;NULL
RE365708;365708;GAZZARO - CIRCONVALLAZIONE;NULL;614396,688;955918,562;1;NULL;NULL;S;591814396;S;N;NULL
RE365709;365709;GAZZARO - INC. VIA TIMAVO;NULL;614322,98;955131,763;1;NULL;NULL;S;513114322;S;N;NULL
RE365710;365710;RAMPATA;NULL;614430,845;954684,443;1;NULL;NULL;S;468414430;S;N;NULL
RE365712;365712;MONTECCHIO - IL CHIAVICONE;NULL;615099,946;952982,975;1;NULL;NULL;S;298215099;S;N;NULL
RE365713;365713;MONTECCHIO - INC. STRADA PRATOROTTO;NULL;615088,625;952399,062;1;NULL;NULL;S;239915088;S;N;NULL
RE365801;365801;S. ILARIO - ASILO;NULL;615174,375;957473,875;1;NULL;NULL;S;747315174;S;N;NULL
RE365802;365802;S. ILARIO;NULL;614853,938;957618,062;1;NULL;NULL;S;761814853;S;N;NULL
RE365803;365803;S. ILARIO - CINEMA;NULL;614620,625;957718,062;1;NULL;NULL;S;771814620;S;N;NULL
RE366001;366001;GNANA;NULL;615744,104;921291,83;1;NULL;NULL;S;129115744;S;N;NULL
RE366002;366002;GNANA - INC. VIA FONTANINO BOSCHI;NULL;616511,301;921106,586;1;NULL;NULL;S;110616511;S;N;NULL
RE366003;366003;SACCAGGIO;NULL;616873,696;920545,919;1;NULL;NULL;S;54516873;S;N;NULL
RE366004;366004;FONTANINO;NULL;617404,824;920405,736;1;NULL;NULL;S;40517404;S;N;NULL
RE366005;366005;FONTANINO - INC. S. M. MADDALENA;NULL;617526,104;920295,38;1;NULL;NULL;S;29517526;S;N;NULL
RE366006;366006;SPIGNANA;NULL;618044,116;920611,572;1;NULL;NULL;S;61118044;S;N;NULL
RE366007;366007;SPIGNANA - INC. PONTONE;NULL;618645,401;920501,87;1;NULL;NULL;S;50118645;S;N;NULL
RE366008;366008;VILLAPRARA;NULL;619371,039;921737,407;1;NULL;NULL;S;173719371;S;N;NULL
RE366009;366009;VILLAPRARA - MULINO;NULL;619898,309;921824,373;1;NULL;NULL;S;182419898;S;N;NULL
RE366010;366010;VILLAPRARA - INC. PAOLANO;NULL;620490,153;922258,172;1;NULL;NULL;S;225820490;S;N;NULL
RE366011;366011;SAVOGNATICA;NULL;621617,97;922423,934;5;NULL;NULL;S;242321617;S;N;NULL
RE366012;366012;SAVOGNATICA - INC. S. CATERINA;NULL;622301,245;922345,616;1;NULL;NULL;S;234522301;S;N;NULL
RE366013;366013;VESALLO;NULL;622549,75;921521,812;5;NULL;NULL;S;152122549;S;N;NULL
RE366014;366014;COLOMBAIA;NULL;622952,938;920106,062;1;NULL;NULL;S;10622952;S;N;NULL
RE366015;366015;DORGOLA - INC. BEBBIO;NULL;626351,24;919215,016;1;NULL;NULL;S;921526351;S;N;NULL
RE366016;366016;DORGOLA;NULL;625764,31;920477,948;1;NULL;NULL;S;47725764;S;N;NULL
RE366017;366017;CASA LANZI;NULL;626037,936;921486,796;1;NULL;NULL;S;148626037;S;N;NULL
RE366019;366019;CORNETO - LA FORNACE;NULL;625141,09;919719,319;5;NULL;NULL;S;971925141;S;N;NULL
RE366021;366021;COLOMBAIA - RISTORANTE;NULL;623144,014;919794,665;1;NULL;NULL;S;979423144;S;N;NULL
RE366501;366501;GNANA;NULL;615750,062;921269,25;5;NULL;NULL;S;126915750;S;N;NULL
RE366502;366502;GNANA - INC. VIA FONTANINO BOSCHI;NULL;616496,232;921093,896;1;NULL;NULL;S;109316496;S;N;NULL
RE366503;366503;SACCAGGIO;NULL;616857,041;920528,47;1;NULL;NULL;S;52816857;S;N;NULL
RE366504;366504;FONTANINO;NULL;617400,5;920388,688;1;NULL;NULL;S;38817400;S;N;NULL
RE366505;366505;FONTANINO - INC. S. M. MADDALENA;NULL;617533,5;920292,312;1;NULL;NULL;S;29217533;S;N;NULL
RE366506;366506;SPIGNANA;NULL;618021,688;920601,875;1;NULL;NULL;S;60118021;S;N;NULL
RE366507;366507;SPIGNANA - INC. PONTONE;NULL;618665,239;920508,218;1;NULL;NULL;S;50818665;S;N;NULL
RE366508;366508;VILLAPRARA;NULL;619368,262;921725,306;1;NULL;NULL;S;172519368;S;N;NULL
RE366509;366509;VILLAPRARA - MULINO;NULL;619891,828;921816,782;1;NULL;NULL;S;181619891;S;N;NULL
RE366510;366510;VILLAPRARA - INC. PAOLANO;NULL;620517,562;922258,812;1;NULL;NULL;S;225820517;S;N;NULL
RE366511;366511;SAVOGNATICA;NULL;621637,375;922415,188;1;NULL;NULL;S;241521637;S;N;NULL
RE366512;366512;SAVOGNATICA - INC. S. CATERINA;NULL;622298,688;922326,438;5;NULL;NULL;S;232622298;S;N;NULL
RE366513;366513;VESALLO;NULL;622511,064;921484,455;1;NULL;NULL;S;148422511;S;N;NULL
RE366514;366514;COLOMBAIA;NULL;622920,203;920138,207;5;NULL;NULL;S;13822920;S;N;NULL
RE366515;366515;DORGOLA - INC. BEBBIO;NULL;626372,688;919221,625;5;NULL;NULL;S;922126372;S;N;NULL
RE366516;366516;DORGOLA;NULL;625784;920465,5;1;NULL;NULL;S;46525784;S;N;NULL
RE366517;366517;CASA LANZI;NULL;626034,938;921467,812;1;NULL;NULL;S;146726034;S;N;NULL
RE366519;366519;CORNETO - LA FORNACE;NULL;625158,538;919677,284;1;NULL;NULL;S;967725158;S;N;NULL
RE366521;366521;COLOMBAIA - RISTORANTE;NULL;623033,5;919760,125;5;NULL;NULL;S;976023033;S;N;NULL
