M_SIGLAUNIVOCA;M_SIGLAAZ;DESCRIZIONE;NOMEBREVE;COORDX;COORDY;TIPO;COMUNE;LOCALITA;STAMPAPERORARIO;IDDISEGNO;FR;SOPPRESSA;STALLO
RE086044;086044;SUZZARA - VIALE VIRGILIO 90;NULL;636447,137;983932,008;2;NULL;NULL;S;393236447;S;N;NULL
RE086045;086045;SUZZARA - SCUOLE MANZONI;NULL;636809,924;983943,694;2;NULL;NULL;S;394336809;S;N;NULL
RE086046;086046;SUZZARA - VIALE VIRGILIO 25;NULL;637336,056;983768,013;2;NULL;NULL;S;376837336;S;N;NULL
RE086047;086047;SUZZARA - PIAZZA LUPPI;NULL;637526,679;983568,795;5;NULL;NULL;N;356837526;S;N;NULL
RE086053;086053;SUZZARA - PIAZZA LUPPI;NULL;637533,686;983528,044;5;NULL;NULL;S;352837533;S;N;NULL
RE086546;086546;SUZZARA - VIALE VIRGILIO 25;NULL;637334,881;983784,93;2;NULL;NULL;S;378437334;S;N;NULL
RE086547;086547;SUZZARA - VIA ROSSELLINI;NULL;636790,512;983680,669;5;NULL;NULL;N;368036790;S;N;NULL
RE087018;087018;GONZAGA - STAZIONE;NULL;643496,405;977851,297;5;NULL;NULL;S;785143496;S;N;NULL
RE087019;087019;GONZAGA - ENTE FIERA;NULL;643760,252;979115,723;2;NULL;NULL;S;911543760;S;N;NULL
RE087022;087022;GONZAGA - VIA DANTE;NULL;643479,723;979582,261;5;NULL;NULL;S;958243479;S;N;NULL
RE087027;087027;GONZAGA - VIALE VIRGILIO;NULL;643469,635;979633,721;5;NULL;NULL;S;963343469;S;N;NULL
RE087113;087113;VILLA BEGOZZO;NULL;639059,562;980465,44;5;NULL;NULL;N;46539059;S;N;NULL
RE087114;087114;SUZZARA - SCUOLE BERTAZZONI;NULL;638027,056;983947,796;2;NULL;NULL;S;394738027;S;N;NULL
RE087518;087518;GONZAGA - STAZIONE;NULL;643489,087;977875,775;2;NULL;NULL;S;787543489;S;N;NULL
RE087519;087519;GONZAGA - ENTE FIERA;NULL;643746,736;979112,285;2;NULL;NULL;S;911243746;S;N;NULL
RE087527;087527;GONZAGA - VIALE VIRGILIO;NULL;643516,199;979610,86;5;NULL;NULL;N;961043516;S;N;NULL
RE087610;087610;VILLA BEGOZZO;NULL;639057,225;980498,29;5;NULL;NULL;N;49839057;S;N;NULL
RE089006;089006;MOGLIA;NULL;651254,046;976990,303;2;NULL;NULL;S;699051254;S;N;NULL
RE089506;089506;MOGLIA;NULL;651273,02;976986,069;2;NULL;NULL;S;698651273;S;N;NULL
RE093035;093035;VIADANA;NULL;620190,426;975836,475;5;NULL;NULL;S;583620190;S;N;NULL
RE093036;093036;VIADANA - ISTITUTO SANFELICE;NULL;620136,253;976297,738;2;NULL;NULL;S;629720136;S;N;NULL
RE093037;093037;VIADANA - ISTITUTO VANONI;NULL;620059,1;976903,217;5;NULL;NULL;S;690320059;S;N;NULL
RE1445;1445;NOVI ;NULL;650165,758;973174,32;2;68;Novi Di Modena;S;317450165;S;N;NULL
RE1570;1570;SASSUOLO - INC. VIA ANCORA;NULL;641100,95;934308,575;2;156;Sassuolo;S;430841100;S;N;NULL
RE1701;1701;VILLAFRANCA;NULL;649654,113;972358,099;2;68;Novi Di Modena;S;235849654;S;N;NULL
RE1721;1721;BAR URIS ;NULL;649904,216;972833,999;2;68;Novi Di Modena;S;283349904;S;N;NULL
RE1766;1766;SASSUOLO - SCUOLA E. MORANTE ;NULL;641137,884;933245,992;2;156;Sassuolo;S;324541137;S;N;NULL
RE1767;1767;SASSUOLO - SCUOLE VIA BOLOGNA;NULL;640862,262;933353,991;2;156;Sassuolo;S;335340862;S;N;NULL
RE1768;1768;SASSUOLO - MONTANARA;NULL;641264,33;932818,679;1;156;Sassuolo;N;281841264;S;N;NULL
RE220211;220211;PARMA - PIAZZA GARIBALDI;NULL;605090,438;961935;2;NULL;NULL;S;193505090;S;N;NULL
RE2237;2237;SASSUOLO TERMINAL BUS;NULL;642008,013;934110,474;5;156;Sassuolo;N;411042008;S;N;NULL
RE2388;2388;SASSUOLO - STAZIONE(RE);NULL;641809,099;934089,808;5;156;Sassuolo;S;408941809;S;N;NULL
RE2391;2391;SASSUOLO - STAZIONE(RE);NULL;641730,158;934092,668;5;156;Sassuolo;S;409241730;S;N;NULL
RE2553;2553;S. MARTINO IN RIO - CIMITERO;NULL;641992,874;954747,241;2;117;San Martino In Rio;N;474741992;S;N;NULL
RE2800;2800;NOVI ;NULL;650147,719;973156,012;2;68;Novi Di Modena;S;315650147;S;N;NULL
RE2810;2810;SASSUOLO - ISTITUTO BAGGI;NULL;642333,844;934007,023;2;156;Sassuolo;S;400742333;S;N;NULL
RE2839;2839;SASSUOLO - ISTITUTO BAGGI;NULL;642355,844;934039,023;5;156;Sassuolo;S;403942355;S;N;NULL
RE292009;292009;MARTORANO;NULL;611838,812;957093,188;2;NULL;NULL;S;709311838;S;N;NULL
RE292010;292010;MONTICELLI - INC. MALANDRIANO;NULL;611179,125;955015,312;2;NULL;NULL;S;501511179;S;N;NULL
RE292011;292011;MONTICELLI - CASA DI CURA M. LUIGIA;NULL;610992,688;954366,5;2;NULL;NULL;S;436610992;S;N;NULL
RE292012;292012;MONTICELLI - SCUOLE;NULL;610709,188;953955,875;2;NULL;NULL;S;395510709;S;N;NULL
RE292509;292509;MARTORANO;NULL;611855,125;957105,062;2;NULL;NULL;S;710511855;S;N;NULL
RE292510;292510;MONTICELLI - INC. MALANDRIANO;NULL;611197,562;955040,438;2;NULL;NULL;S;504011197;S;N;NULL
RE292511;292511;MONTICELLI - CASA DI CURA M. LUIGIA;NULL;611029,625;954449,625;2;NULL;NULL;S;444911029;S;N;NULL
RE292512;292512;MONTICELLI - SCUOLE;NULL;610731,625;953967,062;2;NULL;NULL;S;396710731;S;N;NULL
RE294024;294024;MONTECHIARUGOLO - LA FRATTA;NULL;612966,312;950549,5;2;NULL;NULL;S;54912966;S;N;NULL
RE294026;294026;MONTICELLI TERME;NULL;610414,125;953770,188;2;NULL;NULL;S;377010414;S;N;NULL
RE294524;294524;MONTECHIARUGOLO - LA FRATTA;NULL;612982,438;950540,312;2;NULL;NULL;S;54012982;S;N;NULL
RE294526;294526;MONTICELLI TERME;NULL;610468;953783,875;2;NULL;NULL;S;378310468;S;N;NULL
RE297004;297004;S. PROSPERO - SCUOLE;NULL;611064,616;959369,453;2;NULL;NULL;S;936911064;S;N;NULL
RE297005;297005;PARMA - STAZIONE FS;NULL;605094,526;962760,814;2;NULL;NULL;S;276005094;S;N;NULL
RE297008;297008;IL MORO;NULL;612621,511;958658,818;5;NULL;NULL;S;865812621;S;N;NULL
RE297009;297009;IL MORO - INCR. VIA DALL'AGLIO;NULL;611886,289;958996,687;2;NULL;NULL;S;899611886;S;N;NULL
RE297010;297010;S. PROSPERO - INC. VIAZZA MARTORANO;NULL;611272,379;959272,256;2;NULL;NULL;S;927211272;S;N;NULL
RE297011;297011;S. PROSPERO;NULL;610740,23;959525,698;2;NULL;NULL;S;952510740;S;N;NULL
RE297012;297012;S. PROSPERO - INC. VIA ROCCATAGLIATA;NULL;610227,082;959750,944;2;NULL;NULL;S;975010227;S;N;NULL
RE297013;297013;S. PROSPERO - INC. STRADA DEL POZZETTO;NULL;609855,108;959922,258;2;NULL;NULL;S;992209855;S;N;NULL
RE297014;297014;S. LAZZARO - INC. COLORETO;NULL;609391,926;960132,435;2;NULL;NULL;S;13209391;S;N;NULL
RE297015;297015;S. LAZZARO - EX SALAMINI;NULL;609072,299;960276,782;2;NULL;NULL;S;27609072;S;N;NULL
RE297016;297016;S. LAZZARO - INC. STRADA BENECETO;NULL;608641,666;960470,125;2;NULL;NULL;S;47008641;S;N;NULL
RE297017;297017;S. LAZZARO - DADAUMPA;NULL;608402,538;960585,127;2;NULL;NULL;S;58508402;S;N;NULL
RE297018;297018;PARMA - S. LAZZARO;NULL;607927,459;960800,856;2;NULL;NULL;S;80007927;S;N;NULL
RE297019;297019;S. LAZZARO - INC. VIA CIMAROSA;NULL;606624,363;961398,075;2;NULL;NULL;S;139806624;S;N;NULL
RE297021;297021;PARMA - BARILLA CENTER;NULL;606019,212;961673,288;2;NULL;NULL;S;167306019;S;N;NULL
RE297022;297022;PARMA - INC. VIA TOSCANA;NULL;606047,786;962127,36;2;NULL;NULL;S;212706047;S;N;NULL
RE297023;297023;PARMA - HOTEL DUPARC;NULL;604435,231;962763,564;2;NULL;NULL;S;276304435;S;N;NULL
RE297025;297025;PARMA - VIALE S. MICHELE;NULL;605869,375;961632,25;2;NULL;NULL;S;163205869;S;N;NULL
RE297026;297026;PARMA - VIALE M. DELLA LIBERTA;NULL;605142,407;961253,869;2;NULL;NULL;S;125305142;S;N;NULL
RE297027;297027;PARMA - VIALE CAPRERA;NULL;604572,947;961203,109;2;NULL;NULL;S;120304572;S;N;NULL
RE297028;297028;PARMA - BARRIERA BIXIO;NULL;604380,965;961279,881;5;NULL;NULL;S;127904380;S;N;NULL
RE297029;297029;PARMA - PIAZZALE S. CROCE;NULL;603941,756;962081,952;2;NULL;NULL;S;208103941;S;N;NULL
RE297030;297030;PARMA - VIALE DEI MILLE 64;NULL;604020,5;961692,625;2;NULL;NULL;S;169204020;S;N;NULL
RE297031;297031;PARMA - VIALE DELLA  VILLETTA;NULL;604249,5;961172;2;NULL;NULL;S;117204249;S;N;NULL
RE297032;297032;PARMA - PIAZZALE S. CROCE;NULL;604011,55;962139,057;2;NULL;NULL;S;213904011;S;N;NULL
RE297033;297033;PARMA - VIALE FRATTI;NULL;605714,228;962515,508;2;NULL;NULL;S;251505714;S;N;NULL
RE297034;297034;PARMA - INC. VIA MARCHESI;NULL;604152,584;962707,019;2;NULL;NULL;S;270704152;S;N;NULL
RE297504;297504;S. PROSPERO - SCUOLE;NULL;611052,75;959351,312;2;NULL;NULL;S;935111052;S;N;NULL
RE297507;297507;IL MORO;NULL;612488,312;958695;2;NULL;NULL;S;869512488;S;N;NULL
RE297508;297508;IL MORO - INCR. VIA DALL'AGLIO;NULL;611818,625;959002,312;2;NULL;NULL;S;900211818;S;N;NULL
RE297509;297509;S. PROSPERO - INC. VIAZZA MARTORANO;NULL;611282,724;959253,658;2;NULL;NULL;S;925311282;S;N;NULL
RE297510;297510;S. PROSPERO;NULL;610682,312;959522,875;2;NULL;NULL;S;952210682;S;N;NULL
RE297511;297511;S. PROSPERO - INC. VIA ROCCATAGLIATA;NULL;610252,812;959715,375;2;NULL;NULL;S;971510252;S;N;NULL
RE297512;297512;S. PROSPERO - INC. STRADA DEL POZZETTO;NULL;609857,938;959895,625;2;NULL;NULL;S;989509857;S;N;NULL
RE297513;297513;S. LAZZARO - INC. COLORETO;NULL;609486,125;960065,688;2;NULL;NULL;S;6509486;S;N;NULL
RE297514;297514;S. LAZZARO - EX SALAMINI;NULL;609064,368;960260,127;2;NULL;NULL;S;26009064;S;N;NULL
RE297515;297515;S. LAZZARO - INC. STRADA BENECETO;NULL;608675;960438,25;2;NULL;NULL;S;43808675;S;N;NULL
RE297516;297516;S. LAZZARO - DADAUMPA;NULL;608400,938;960558,688;2;NULL;NULL;S;55808400;S;N;NULL
RE297517;297517;PARMA - S. LAZZARO;NULL;607942,862;960776,705;2;NULL;NULL;S;77607942;S;N;NULL
RE297518;297518;S. LAZZARO - INC. VIA CIMAROSA;NULL;606583,938;961394,688;2;NULL;NULL;S;139406583;S;N;NULL
RE297519;297519;PARMA - BARILLA CENTER;NULL;606012,078;961660,401;2;NULL;NULL;S;166006012;S;N;NULL
RE297521;297521;PARMA - VIALE MENTANA 72;NULL;605899;962190,938;2;NULL;NULL;S;219005899;S;N;NULL
RE297522;297522;PARMA - VIALE MENTANA 146;NULL;605319,125;962605,75;2;NULL;NULL;S;260505319;S;N;NULL
RE297532;297532;PARMA - ISTITUTO BODONI;NULL;604100,873;962673,608;2;NULL;NULL;S;267304100;S;N;NULL
RE297533;297533;PARMA - VIALE TOSCHI;NULL;605034,618;962709,255;2;NULL;NULL;S;270905034;S;N;NULL
RE297534;297534;PARMA - HOTEL DUPARC;NULL;604452,062;962743,188;2;NULL;NULL;S;274304452;S;N;NULL
RE297535;297535;PARMA - OSPEDALE MAGGIORE;NULL;603692;962314,75;2;NULL;NULL;S;231403692;S;N;NULL
RE297536;297536;PARMA - VIALE MENTANA 118;NULL;605517,25;962529,625;2;NULL;NULL;S;252905517;S;N;NULL
RE300000;300000;CIM;NULL;630267,044;950993,594;5;NULL;NULL;S;99330267;S;N;NULL
RE300001;300001;CIM1;NULL;630164,499;951011,796;2;NULL;NULL;S;101130164;S;N;1
RE300002;300002;CIM2;NULL;630172,216;951008,068;5;NULL;NULL;S;100830172;S;N;2
RE300003;300003;CIM3;NULL;630180,931;951003,651;5;NULL;NULL;S;100330180;S;N;3
RE300004;300004;CIM4;NULL;630188,907;950999,048;5;NULL;NULL;S;99930188;S;N;4
RE300005;300005;CIM5;NULL;630197,622;950994,261;5;NULL;NULL;S;99430197;S;N;5
RE300006;300006;CIM6;NULL;630206,364;950989,685;5;NULL;NULL;S;98930206;S;N;6
RE300007;300007;CIM7;NULL;630214,895;950985,294;5;NULL;NULL;S;98530214;S;N;7
RE300008;300008;CIM8;NULL;630223,134;950981,035;5;NULL;NULL;S;98130223;S;N;8
RE300009;300009;CIM9;NULL;630231,696;950977,055;5;NULL;NULL;S;97730231;S;N;9
RE300010;300010;CIM10;NULL;630240,2;950972,822;5;NULL;NULL;S;97230240;S;N;10
RE300011;300011;CIM11;NULL;630180,091;951026,253;2;NULL;NULL;S;102630180;S;N;11
RE300012;300012;CIM12;NULL;630188,595;951022,179;5;NULL;NULL;S;102230188;S;N;12
RE300013;300013;CIM13;NULL;630197,02;951018,014;5;NULL;NULL;S;101830197;S;N;13
RE300014;300014;CIM14;NULL;630205,735;951013,874;5;NULL;NULL;S;101330205;S;N;14
RE300015;300015;CIM15;NULL;630214,451;951009,086;5;NULL;NULL;S;100930214;S;N;15
RE300016;300016;CIM16;NULL;630223,061;951005,013;5;NULL;NULL;S;100530223;S;N;16
RE300017;300017;CIM17;NULL;630232,12;951000,596;5;NULL;NULL;S;100030232;S;N;17
RE300018;300018;CIM18;NULL;630240,624;950996,734;5;NULL;NULL;S;99630240;S;N;18
RE300019;300019;CIM19;NULL;630239,79;951018,542;5;NULL;NULL;S;101830239;S;N;19
RE300020;300020;CIM20;NULL;630232,344;951022,615;5;NULL;NULL;S;102230232;S;N;20
RE300021;300021;CIM21;NULL;630223,814;951027,007;5;NULL;NULL;S;102730223;S;N;21
RE300022;300022;CIM22;NULL;630214,331;951030,974;5;NULL;NULL;S;103030214;S;N;22
RE300023;300023;CIM23;NULL;630205,986;951034,782;5;NULL;NULL;S;103430205;S;N;23
RE300024;300024;CIM24;NULL;630198,223;951038,421;5;NULL;NULL;S;103830198;S;N;24
RE300025;300025;CIM25;NULL;630188,502;951042,494;5;NULL;NULL;S;104230188;S;N;25
RE300026;300026;CIM26;NULL;630180,263;951046,012;5;NULL;NULL;S;104630180;S;N;26
RE300027;300027;CIM27;NULL;630172,869;951049,384;5;NULL;NULL;S;104930172;S;N;27
RE300028;300028;CIM28;NULL;630253,136;951035,498;5;NULL;NULL;S;103530253;S;N;28
RE300029;300029;CIM29;NULL;630245,082;951038,646;5;NULL;NULL;S;103830245;S;N;29
RE300030;300030;CIM30;NULL;630237,398;951042,719;5;NULL;NULL;S;104230237;S;N;30
RE300031;300031;CIM31;NULL;630229,898;951046,052;5;NULL;NULL;S;104630229;S;N;31
RE300032;300032;CIM32;NULL;630221,844;951050,125;5;NULL;NULL;S;105030221;S;N;32
RE300033;300033;CIM33;NULL;630213,838;951054,384;2;NULL;NULL;N;105430213;S;N;33
RE300034;300034;CIM34;NULL;630204,858;951058,086;5;NULL;NULL;S;105830204;S;N;34
RE300035;300035;CIM35;NULL;630196,296;951061,974;5;NULL;NULL;S;106130196;S;N;35
RE300036;300036;CIM36;NULL;630187,87;951065,307;5;NULL;NULL;S;106530187;S;N;36
RE300037;300037;CIM37 - FUORI;NULL;630232,957;951053,272;5;NULL;NULL;S;105330232;S;N;37
RE310101;310101;QUARTIERE FOSCATO;NULL;626492,063;950464,119;4;NULL;NULL;S;46426492;S;N;NULL
RE310102;310102;INC. VIA GORIZIA;NULL;626582,391;950514,252;1;NULL;NULL;S;51426582;S;N;NULL
RE310104;310104;QUARTIERE OROLOGIO;NULL;627406,062;950618,25;1;NULL;NULL;S;61827406;S;N;NULL
RE310105;310105;PARCO DEL GELSO;NULL;627755,5;950704,25;1;NULL;NULL;S;70427755;S;N;NULL
RE310107;310107;INC. VIA MARSALA;NULL;628182,625;950816,125;1;NULL;NULL;S;81628182;S;N;NULL
RE310109;310109;PNEUMOLOGIA;NULL;629139,94;949314,95;1;NULL;NULL;S;931429139;S;N;NULL
RE310122;310122;PORTA S. CROCE;NULL;629692,914;951409,252;1;NULL;NULL;S;140929692;S;N;NULL
RE310123;310123;VIALE PIAVE;NULL;629918,125;951006,375;1;NULL;NULL;S;100629918;S;N;NULL
RE310124;310124;REGGIO EMILIA - STAZIONE FS;NULL;630230,84;950811,404;1;NULL;NULL;S;81130230;S;N;NULL
RE310126;310126;VIALE DEI MILLE;NULL;630041,585;950513,09;1;NULL;NULL;S;51330041;S;N;NULL
RE310127;310127;VIALE RISORGIMENTO;NULL;629885,267;950355,347;1;NULL;NULL;S;35529885;S;N;NULL
RE310128;310128;INC. VIA TERRACHINI;NULL;629736,379;950163,417;1;NULL;NULL;S;16329736;S;N;NULL
RE310129;310129;INC. VIA PELLICO;NULL;629605,448;949994,001;1;NULL;NULL;S;999429605;S;N;NULL
RE310130;310130;INC. VIA CASSOLI;NULL;629482,123;949828,367;1;NULL;NULL;S;982829482;S;N;NULL
RE310131;310131;MEDICINA RIABILITATIVA;NULL;629343,542;949647,75;1;NULL;NULL;S;964729343;S;N;NULL
RE310133;310133;PIAZZA QUARNARO;NULL;629019,938;949256,938;1;NULL;NULL;S;925629019;S;N;NULL
RE310135;310135;VIA TASSONI - LOC. CAVALIERA;NULL;628918,062;948734,312;1;NULL;NULL;S;873428918;S;N;NULL
RE310136;310136;VIA TASSONI - CASELLO POZZO;NULL;628939,179;948350,069;1;NULL;NULL;S;835028939;S;N;NULL
RE310137;310137;CANALI - INC. VIA TOTO';NULL;628511,669;947533,576;1;NULL;NULL;S;753328511;S;N;NULL
RE310142;310142;ALBINEA - INC. VIA NENNI;NULL;627584,69;944548,28;1;NULL;NULL;S;454827584;S;N;NULL
RE310143;310143;ALBINEA - VIA V. EMANUELE 84;NULL;627484,809;944046,447;1;NULL;NULL;S;404627484;S;N;NULL
RE310145;310145;ALBINEA - VIA P. GIOVANNI XXIII;NULL;627527;943443,562;1;NULL;NULL;S;344327527;S;N;NULL
RE310146;310146;ALBINEA - RSA;NULL;627970,75;943390,562;1;NULL;NULL;S;339027970;S;N;NULL
RE310147;310147;ALBINEA - CIRCOLO TENNIS;NULL;628015,181;943143,189;1;NULL;NULL;S;314328015;S;N;NULL
RE310148;310148;ALBINEA - VIA GRANDI;NULL;627758,534;942674,703;1;NULL;NULL;S;267427758;S;N;NULL
RE310149;310149;ALBINEA - INC. VIA F.LLI CERVI;NULL;627404,673;942592,573;1;NULL;NULL;S;259227404;S;N;NULL
RE310151;310151;ALBINEA;NULL;627219,938;942118,125;1;NULL;NULL;S;211827219;S;N;NULL
RE310152;310152;ALBINEA - BOTTEGHE;NULL;626441,159;942633,401;6;NULL;NULL;S;263326441;S;N;NULL
RE310154;310154;ALBINEA - VIA D' ACQUISTO;NULL;624964,25;942405,743;6;NULL;NULL;S;240524964;S;N;NULL
RE310160;310160;CANALI - VIA SAN MARCO;NULL;628157,928;946271,063;4;NULL;NULL;S;627128157;S;N;NULL
RE310163;310163;VIALE MAGENTA - ACI;NULL;628583,492;950929,227;1;NULL;NULL;S;92928583;S;N;NULL
RE310167;310167;CANALI - INC. VIA CAMPANIA;NULL;628358,043;947224,765;1;NULL;NULL;S;722428358;S;N;NULL
RE310168;310168;INC. VIA NOBILI;NULL;629386,125;951512,688;1;NULL;NULL;S;151229386;S;N;NULL
RE310169;310169;SCUOLE PASCOLI;NULL;629122,938;951516,688;1;NULL;NULL;S;151629122;S;N;NULL
RE310170;310170;INC. VIALE T. TRIESTE;NULL;628797,848;951359,62;1;NULL;NULL;S;135928797;S;N;NULL
RE310171;310171;VIALE TIMAVO - CLINICA VILLA SALUS;NULL;628737,552;950879,342;1;NULL;NULL;S;87928737;S;N;NULL
RE310172;310172;INC. VIA BERETTI;NULL;628826,938;950602,312;1;NULL;NULL;S;60228826;S;N;NULL
RE310174;310174;ALBINEA - VIA V. EMANUELE 69;NULL;627416,22;943804,265;4;NULL;NULL;S;380427416;S;N;NULL
RE310179;310179;ALBINEA - CHIESA;NULL;627365,5;942378,625;5;NULL;NULL;S;237827365;S;N;NULL
RE310197;310197;CAVRIAGO - CENTRO PIANELLA;NULL;620755,97;949440,024;4;NULL;NULL;N;944020755;S;N;NULL
RE310200;310200;RITIRO - CAMPO PROVA;NULL;634100,5;948599;1;NULL;NULL;S;859934100;S;N;NULL
RE310201;310201;RUBIERA;NULL;641254,244;946231,291;4;97;Rubiera;S;623141254;S;N;NULL
RE310207;310207;BAGNO - SCUOLE;NULL;638602,904;946647,229;1;NULL;NULL;S;664738602;S;N;NULL
RE310208;310208;BAGNO - FARMACIA;NULL;638021,71;946909,56;4;NULL;NULL;S;690938021;S;N;NULL
RE310209;310209;BAGNO - INC. VIA ROMANI;NULL;637693,091;947060,379;1;NULL;NULL;S;706037693;S;N;NULL
RE310210;310210;MARMIROLO - RIO DOGARO;NULL;637096,569;947330,931;1;NULL;NULL;S;733037096;S;N;NULL
RE310211;310211;PIAZZA DIAZ;NULL;629209,427;950309,895;1;NULL;NULL;S;30929209;S;N;NULL
RE310212;310212;MASONE - CANTINA;NULL;636034,746;947704,587;1;NULL;NULL;S;770436034;S;N;NULL
RE310213;310213;MASONE;NULL;635815,052;947795,796;1;NULL;NULL;S;779535815;S;N;NULL
RE310214;310214;MASONE - VIA BACONE 13;NULL;635324,904;948031,352;1;NULL;NULL;S;803135324;S;N;NULL
RE310215;310215;MASONE - SAN NICOLA;NULL;634807,385;948279,369;1;NULL;NULL;S;827934807;S;N;NULL
RE310218;310218;S. MAURIZIO - VIA PASTEUR 21;NULL;633063,891;949256,343;1;NULL;NULL;S;925633063;S;N;NULL
RE310219;310219;S. MAURIZIO - MAURIZIANO;NULL;632785,621;949379,142;1;NULL;NULL;S;937932785;S;N;NULL
RE310220;310220;S. MAURIZIO - CHIESA;NULL;632449,717;949497,102;1;NULL;NULL;S;949732449;S;N;NULL
RE310222;310222;MASONE - INC. VIA TAGLIAVINI;NULL;636388,637;947569,92;1;NULL;NULL;N;756936388;S;N;NULL
RE310224;310224;OSPIZIO - RIONE D. PASQUINO BORGHI;NULL;631370,069;949992,121;1;NULL;NULL;S;999231370;S;N;NULL
RE310225;310225;OSPIZIO - INC. VIA DEBELI;NULL;631194,907;950072,73;1;NULL;NULL;S;7231194;S;N;NULL
RE310226;310226;OSPIZIO - SCUOLE;NULL;630983,266;950172,041;1;NULL;NULL;S;17230983;S;N;NULL
RE310227;310227;OSPIZIO - CHIESA;NULL;630832,023;950242,212;1;NULL;NULL;S;24230832;S;N;NULL
RE310228;310228;OSPIZIO - INC. VIA MELATO;NULL;630669,749;950316,406;1;NULL;NULL;S;31630669;S;N;NULL
RE310231;310231;INC. VIA TIEPOLO;NULL;629609,373;950359,518;1;NULL;NULL;S;35929609;S;N;NULL
RE310232;310232;VIA PRATI VECCHI ;NULL;623636,621;953363,386;1;NULL;NULL;S;336323636;S;N;NULL
RE310233;310233;VIA ARIOSTO;NULL;629244,312;950463,938;1;NULL;NULL;S;46329244;S;N;NULL
RE310234;310234;PIAZZA ROVERSI;NULL;629183,375;950640,5;1;NULL;NULL;S;64029183;S;N;NULL
RE310235;310235;COOP 1;NULL;628992,625;950812,875;1;NULL;NULL;S;81228992;S;N;NULL
RE310236;310236;INC. VIA COL DI LANA;NULL;628355,484;951390,848;1;NULL;NULL;S;139028355;S;N;NULL
RE310237;310237;INC. VIA FERRARI;NULL;628209,828;951458,317;1;NULL;NULL;S;145828209;S;N;NULL
RE310238;310238;INC. VIA TRIPOLI;NULL;628038,643;951534,767;1;NULL;NULL;S;153428038;S;N;NULL
RE310239;310239;INC. VIA GALILEI;NULL;627787,101;951650,956;1;NULL;NULL;S;165027787;S;N;NULL
RE310240;310240;LATTERIE RIUNITE;NULL;627530,762;951773,011;1;NULL;NULL;S;177327530;S;N;NULL
RE310242;310242;PIEVE - METANO;NULL;626627,36;952199,335;1;NULL;NULL;S;219926627;S;N;NULL
RE310243;310243;PIEVE - INC. VIA CAFIERO;NULL;626186,919;952404,267;1;NULL;NULL;S;240426186;S;N;NULL
RE310245;310245;PIEVE - BUDA;NULL;625278,429;952821,408;1;NULL;NULL;S;282125278;S;N;NULL
RE310246;310246;PIEVE - INC. VIA A. GARIBALDI;NULL;624880,86;953010,521;1;NULL;NULL;S;301024880;S;N;NULL
RE310248;310248;CELLA - MARABU';NULL;624023,39;953415,628;1;NULL;NULL;S;341524023;S;N;NULL
RE310249;310249;CELLA - BARACCONE;NULL;623561,69;953619,416;1;NULL;NULL;S;361923561;S;N;NULL
RE310250;310250;PIEVE - SCUOLE;NULL;626033,137;952469,272;1;NULL;NULL;S;246926033;S;N;NULL
RE310251;310251;CELLA - MULINO;NULL;623131,044;953822,283;1;NULL;NULL;S;382223131;S;N;NULL
RE310252;310252;CELLA - CINEMA;NULL;622758,953;953984,696;1;NULL;NULL;S;398422758;S;N;NULL
RE310254;310254;RUBIERA - MULTISALA EMIRO;NULL;640651,438;946310,75;1;97;Rubiera;S;631040651;S;N;NULL
RE310255;310255;CELLA - VIA G. B. VICO;NULL;622062,421;954318,863;1;NULL;NULL;S;431822062;S;N;NULL
RE310256;310256;CELLA - INC. VIA MANGANELLI;NULL;621315,607;954664,217;1;NULL;NULL;S;466421315;S;N;NULL
RE310257;310257;CADE' - POD. MARGHERITA;NULL;621019,774;954801,427;1;NULL;NULL;S;480121019;S;N;NULL
RE310258;310258;CADE' - MONUMENTO;NULL;620498,717;955031,8;1;NULL;NULL;S;503120498;S;N;NULL
RE310260;310260;CADE' - BAR PECCHINI;NULL;619951,866;955295,251;1;NULL;NULL;S;529519951;S;N;NULL
RE310261;310261;GAIDA - SCUOLE;NULL;619306,266;955587,913;1;NULL;NULL;S;558719306;S;N;NULL
RE310262;310262;GAIDA;NULL;618929,338;955760,815;1;NULL;NULL;S;576018929;S;N;NULL
RE310273;310273;S. ILARIO - PARCO POLETTI;NULL;614304,312;957606,125;4;NULL;NULL;S;760614304;S;N;NULL
RE310274;310274;MASONE - INC. VIA SOCINI;NULL;635074,07;947917,204;1;NULL;NULL;S;791735074;S;N;NULL
RE310275;310275;RONCADELLA - INC. VIA BONINI;NULL;635082,001;947516,678;1;NULL;NULL;S;751635082;S;N;NULL
RE310276;310276;RONCADELLA - CHIESA;NULL;635045,688;946788,75;1;NULL;NULL;S;678835045;S;N;NULL
RE310277;310277;RONCADELLA - INC. VIA PANISI;NULL;635361,438;946544,25;1;NULL;NULL;S;654435361;S;N;NULL
RE310278;310278;MARMIROLO - VIA MANZOTTI 26;NULL;635878,25;946388,438;1;NULL;NULL;S;638835878;S;N;NULL
RE310279;310279;MARMIROLO - CHIESA;NULL;636307,562;946346,812;1;NULL;NULL;S;634636307;S;N;NULL
RE310280;310280;MARMIROLO - VIA DELLA PACE 20;NULL;636456,312;946653,562;1;NULL;NULL;S;665336456;S;N;NULL
RE310281;310281;RITIRO - CAPOLINEA;NULL;633932,442;948825,743;4;NULL;NULL;S;882533932;S;N;NULL
